
=======================================================
SINGLE-GPU TRAINING: data/mixed/ratio_100_0.jsonl
  49,987 texts → 13,350,010 tokens
=======================================================
  98,591,232 params | 12384 steps | bs=8x1024 | 8 epochs | LR=0.0005
  step  8750/12384 | loss=1.0842 ppl=3 | 13K tok/s
  step  8800/12384 | loss=1.3491 ppl=4 | 13K tok/s
  step  8850/12384 | loss=1.1310 ppl=3 | 13K tok/s
  step  8900/12384 | loss=1.2942 ppl=4 | 13K tok/s
  step  8950/12384 | loss=1.1833 ppl=3 | 13K tok/s
  step  9000/12384 | loss=1.2886 ppl=4 | 13K tok/s
  step  9050/12384 | loss=1.2373 ppl=3 | 13K tok/s
  step  9100/12384 | loss=1.2446 ppl=3 | 13K tok/s
  step  9150/12384 | loss=1.1654 ppl=3 | 13K tok/s
  step  9200/12384 | loss=1.2633 ppl=4 | 13K tok/s
  step  9250/12384 | loss=1.2301 ppl=3 | 13K tok/s
  step  9300/12384 | loss=0.8965 ppl=2 | 13K tok/s
  step  9350/12384 | loss=0.9403 ppl=3 | 13K tok/s
  step  9400/12384 | loss=1.0249 ppl=3 | 13K tok/s
  step  9450/12384 | loss=0.9009 ppl=2 | 13K tok/s
  step  9500/12384 | loss=0.9916 ppl=3 | 13K tok/s
  step  9550/12384 | loss=0.9999 ppl=3 | 13K tok/s
  step  9600/12384 | loss=0.8868 ppl=2 | 13K tok/s
  step  9650/12384 | loss=0.8714 ppl=2 | 13K tok/s
  step  9700/12384 | loss=1.0206 ppl=3 | 13K tok/s
  step  9750/12384 | loss=1.0371 ppl=3 | 13K tok/s
  step  9800/12384 | loss=1.0625 ppl=3 | 13K tok/s
  step  9850/12384 | loss=1.0848 ppl=3 | 13K tok/s
  step  9900/12384 | loss=1.0391 ppl=3 | 13K tok/s
  step  9950/12384 | loss=0.9803 ppl=3 | 13K tok/s
  step 10000/12384 | loss=1.0778 ppl=3 | 13K tok/s
  step 10050/12384 | loss=1.0553 ppl=3 | 13K tok/s
  step 10100/12384 | loss=1.0295 ppl=3 | 13K tok/s
  step 10150/12384 | loss=1.0667 ppl=3 | 13K tok/s
  step 10200/12384 | loss=1.0856 ppl=3 | 13K tok/s
  step 10250/12384 | loss=1.1479 ppl=3 | 13K tok/s
  step 10300/12384 | loss=1.1426 ppl=3 | 13K tok/s
  step 10350/12384 | loss=1.1344 ppl=3 | 13K tok/s
  step 10400/12384 | loss=1.0974 ppl=3 | 13K tok/s
  step 10450/12384 | loss=1.1683 ppl=3 | 13K tok/s
  step 10500/12384 | loss=1.0749 ppl=3 | 13K tok/s
  step 10550/12384 | loss=1.2008 ppl=3 | 13K tok/s
  step 10600/12384 | loss=1.2002 ppl=3 | 13K tok/s
  step 10650/12384 | loss=0.9985 ppl=3 | 13K tok/s
  step 10700/12384 | loss=1.1843 ppl=3 | 13K tok/s
  step 10750/12384 | loss=1.1598 ppl=3 | 13K tok/s
  step 10800/12384 | loss=0.9580 ppl=3 | 13K tok/s
  step 10850/12384 | loss=0.7176 ppl=2 | 13K tok/s
  step 10900/12384 | loss=0.6594 ppl=2 | 13K tok/s
  step 10950/12384 | loss=0.7660 ppl=2 | 13K tok/s
  step 11000/12384 | loss=0.8129 ppl=2 | 13K tok/s
  step 11050/12384 | loss=0.6417 ppl=2 | 13K tok/s
  step 11100/12384 | loss=0.7351 ppl=2 | 13K tok/s
  step 11150/12384 | loss=0.8193 ppl=2 | 13K tok/s
  step 11200/12384 | loss=0.7414 ppl=2 | 13K tok/s
  step 11250/12384 | loss=0.7403 ppl=2 | 13K tok/s
  step 11300/12384 | loss=0.8048 ppl=2 | 13K tok/s
  step 11350/12384 | loss=0.7940 ppl=2 | 13K tok/s
  step 11400/12384 | loss=0.7902 ppl=2 | 13K tok/s
  step 11450/12384 | loss=0.7033 ppl=2 | 13K tok/s
  step 11500/12384 | loss=0.6999 ppl=2 | 13K tok/s
  step 11550/12384 | loss=0.7533 ppl=2 | 13K tok/s
  step 11600/12384 | loss=0.7495 ppl=2 | 13K tok/s
  step 11650/12384 | loss=0.6529 ppl=2 | 13K tok/s
  step 11700/12384 | loss=0.7027 ppl=2 | 13K tok/s
  step 11750/12384 | loss=0.7548 ppl=2 | 13K tok/s
  step 11800/12384 | loss=0.7262 ppl=2 | 13K tok/s
  step 11850/12384 | loss=0.6956 ppl=2 | 13K tok/s
  step 11900/12384 | loss=0.6428 ppl=2 | 13K tok/s
  step 11950/12384 | loss=0.7346 ppl=2 | 13K tok/s
  step 12000/12384 | loss=0.6268 ppl=2 | 13K tok/s
  step 12050/12384 | loss=0.6734 ppl=2 | 13K tok/s
  step 12100/12384 | loss=0.6317 ppl=2 | 13K tok/s
  step 12150/12384 | loss=0.6691 ppl=2 | 13K tok/s
  step 12200/12384 | loss=0.6538 ppl=2 | 13K tok/s
  step 12250/12384 | loss=0.6728 ppl=2 | 13K tok/s
  step 12300/12384 | loss=0.6263 ppl=2 | 13K tok/s
  step 12350/12384 | loss=0.6882 ppl=2 | 13K tok/s

=======================================================
DONE: checkpoints/scale_pure_13M_8ep.pt
  VAL PPL: 6 | 126.6min | 13K tok/s
  Checkpoint: checkpoints/scale_pure_13M_8ep.pt (0.4GB)
=======================================================
