
=======================================================
SINGLE-GPU TRAINING: data/exp/full_distill.jsonl
  87,395 texts → 23,337,509 tokens
=======================================================
  192,987,648 params | 10824 steps | bs=4x1024 | 2 epochs | LR=0.0005
  step  7750/10824 | loss=1.7438 ppl=6 | 6K tok/s
  step  7800/10824 | loss=1.8573 ppl=6 | 6K tok/s
  step  7850/10824 | loss=1.7564 ppl=6 | 6K tok/s
  step  7900/10824 | loss=1.6642 ppl=5 | 6K tok/s
  step  7950/10824 | loss=1.5340 ppl=5 | 6K tok/s
  step  8000/10824 | loss=1.7729 ppl=6 | 6K tok/s
  step  8050/10824 | loss=1.6693 ppl=5 | 6K tok/s
  step  8100/10824 | loss=1.7577 ppl=6 | 6K tok/s
  step  8150/10824 | loss=1.6189 ppl=5 | 6K tok/s
  step  8200/10824 | loss=1.5532 ppl=5 | 6K tok/s
  step  8250/10824 | loss=1.9064 ppl=7 | 6K tok/s
  step  8300/10824 | loss=1.8916 ppl=7 | 6K tok/s
  step  8350/10824 | loss=1.7949 ppl=6 | 6K tok/s
  step  8400/10824 | loss=1.7637 ppl=6 | 6K tok/s
  step  8450/10824 | loss=1.6941 ppl=5 | 6K tok/s
  step  8500/10824 | loss=1.5847 ppl=5 | 6K tok/s
  step  8550/10824 | loss=1.7965 ppl=6 | 6K tok/s
  step  8600/10824 | loss=1.8210 ppl=6 | 6K tok/s
  step  8650/10824 | loss=1.8378 ppl=6 | 6K tok/s
  step  8700/10824 | loss=1.6889 ppl=5 | 6K tok/s
  step  8750/10824 | loss=1.7740 ppl=6 | 6K tok/s
  step  8800/10824 | loss=1.4154 ppl=4 | 6K tok/s
  step  8850/10824 | loss=1.7328 ppl=6 | 6K tok/s
  step  8900/10824 | loss=1.6692 ppl=5 | 6K tok/s
  step  8950/10824 | loss=1.5670 ppl=5 | 6K tok/s
  step  9000/10824 | loss=1.6161 ppl=5 | 6K tok/s
  step  9050/10824 | loss=1.6194 ppl=5 | 6K tok/s
  step  9100/10824 | loss=1.6872 ppl=5 | 6K tok/s
  step  9150/10824 | loss=1.6937 ppl=5 | 6K tok/s
  step  9200/10824 | loss=1.8676 ppl=6 | 6K tok/s
  step  9250/10824 | loss=1.8701 ppl=6 | 6K tok/s
  step  9300/10824 | loss=1.6485 ppl=5 | 6K tok/s
  step  9350/10824 | loss=1.6907 ppl=5 | 6K tok/s
  step  9400/10824 | loss=1.7669 ppl=6 | 6K tok/s
  step  9450/10824 | loss=1.6618 ppl=5 | 6K tok/s
  step  9500/10824 | loss=1.6985 ppl=5 | 6K tok/s
  step  9550/10824 | loss=1.6978 ppl=5 | 6K tok/s
  step  9600/10824 | loss=1.6566 ppl=5 | 6K tok/s
  step  9650/10824 | loss=1.6689 ppl=5 | 6K tok/s
  step  9700/10824 | loss=1.7271 ppl=6 | 6K tok/s
  step  9750/10824 | loss=1.3952 ppl=4 | 6K tok/s
  step  9800/10824 | loss=1.6549 ppl=5 | 6K tok/s
  step  9850/10824 | loss=1.3005 ppl=4 | 6K tok/s
  step  9900/10824 | loss=1.6423 ppl=5 | 6K tok/s
  step  9950/10824 | loss=1.6321 ppl=5 | 6K tok/s
  step 10000/10824 | loss=1.3705 ppl=4 | 6K tok/s
  step 10050/10824 | loss=1.4603 ppl=4 | 6K tok/s
  step 10100/10824 | loss=1.4923 ppl=4 | 6K tok/s
  step 10150/10824 | loss=1.6328 ppl=5 | 6K tok/s
  step 10200/10824 | loss=1.5740 ppl=5 | 6K tok/s
  step 10250/10824 | loss=1.3378 ppl=4 | 6K tok/s
  step 10300/10824 | loss=1.3688 ppl=4 | 6K tok/s
  step 10350/10824 | loss=1.5249 ppl=5 | 6K tok/s
  step 10400/10824 | loss=1.4877 ppl=4 | 6K tok/s
  step 10450/10824 | loss=1.7734 ppl=6 | 6K tok/s
  step 10500/10824 | loss=1.3306 ppl=4 | 6K tok/s
  step 10550/10824 | loss=1.4911 ppl=4 | 6K tok/s
  step 10600/10824 | loss=1.6551 ppl=5 | 6K tok/s
  step 10650/10824 | loss=1.5197 ppl=5 | 6K tok/s
  step 10700/10824 | loss=1.5111 ppl=5 | 6K tok/s
  step 10750/10824 | loss=1.4474 ppl=4 | 6K tok/s
  step 10800/10824 | loss=1.5944 ppl=5 | 6K tok/s

=======================================================
DONE: checkpoints/scale_deep_48L.pt
  VAL PPL: 4 | 114.7min | 6K tok/s
  Checkpoint: checkpoints/scale_deep_48L.pt (0.8GB)
=======================================================
